Criptomoneda,Señal,Precio,TP,SL,Score
AVAXUSDT,LONG,25.16,33.68036018207586,23.029909954481035,55
BNBUSDT,LONG,762.21,887.5073413663948,730.8856646584013,50
CVXUSDT,LONG,4.426,7.072501734544777,3.7643745663638057,50
PENDLEUSDT,LONG,4.637,6.573139105379028,4.152965223655243,50
ZECUSDT,LONG,42.92,56.79,38.77812933556158,50
ZENUSDT,LONG,9.36,12.34,8.34134810894798,45
BANANAUSDT,LONG,27.35,41.03102328882846,23.929744177792887,45
SSVUSDT,LONG,10.7,16.064412010925338,9.358896997268666,45
ARUSDT,LONG,8.02,11.648944451625576,7.112763887093605,45
EGLDUSDT,LONG,17.55,23.319659507768456,16.107585123057888,45
ENSUSDT,LONG,28.47,39.572015589752546,25.69449610256186,45
RENDERUSDT,LONG,4.407,6.214722044697341,3.955069488825665,40
LTCUSDT,LONG,115.02,151.12881263905274,105.9927968402368,40
ETHUSDT,LONG,3676.66,4635.195820386196,3437.026044903451,40
BNSOLUSDT,LONG,212.5,270.42634795298255,198.01841301175438,40
MOVRUSDT,LONG,7.173,9.723984321513907,6.535253919621524,40
WBETHUSDT,LONG,3937.95,4956.813140418588,3683.234214895353,40
ICPUSDT,LONG,5.948,8.001032734968758,5.4347418162578105,40
XVSUSDT,LONG,6.84,8.852701524126223,6.336824618968444,40
AAVEUSDT,LONG,307.06,424.48315430280394,277.70421142429905,40
MKRUSDT,LONG,2042.2,2892.636313508348,1829.5909216229131,40
SOLUSDT,LONG,200.34,255.60027824210692,186.52493043947328,40
TAOUSDT,LONG,436.4,612.5077547243352,392.37306131891614,40
LINKUSDT,LONG,19.15,25.579612165163354,17.54259695870916,35
TRUMPUSDT,LONG,10.76,13.28,9.711261444884766,35
ORDIUSDT,LONG,10.843,16.19552886275153,9.504867784312118,35
COMPUSDT,LONG,51.13,62.75,45.88012387099646,35
DASHUSDT,LONG,24.62,32.035444606644134,22.76613884833897,35
KSMUSDT,LONG,16.83,23.08336670427891,15.26665832393027,35
INJUSDT,LONG,14.84,21.14622799628432,13.26344300092892,35
ALCXUSDT,LONG,9.78,12.0,8.974461718645582,35
PROMUSDT,LONG,9.073,12.793430888704226,8.142892277823943,35
NEOUSDT,LONG,7.17,9.70289155660511,6.536777110848723,30
YFIUSDT,LONG,6016.0,7745.156447026815,5583.710888243297,30
DEXEUSDT,LONG,7.403,15.069,6.651506587943218,30
GMXUSDT,LONG,13.4,18.2,11.976301170522209,30
VANAUSDT,LONG,5.364,7.688,4.7762396954165585,30
EPICUSDT,LONG,2.431,4.489831229283563,1.9162921926791092,30
