Criptomoneda,Señal,Precio,TP,SL,RSI,MACD,Vitalidad,Grids,Score
PENDLEUSDT,LONG,4.854,6.941853391093314,4.332036652226671,73.86899355762985,al alza,1.804304021694573,15,60
AVAXUSDT,LONG,25.11,33.63036018207586,22.979909954481034,74.3685827900753,al alza,1.744950307905487,12,55
BANANAUSDT,LONG,30.69,45.12959471739988,27.08010132065003,81.80127468262381,al alza,1.3802124338187383,16,55
ETHUSDT,LONG,3742.5,4701.035820386196,3502.866044903451,85.7469494625656,al alza,1.2023180880236628,10,50
MKRUSDT,LONG,2094.1,2944.5363135083476,1881.490921622913,60.79875985754609,al alza,1.3215289416217917,14,50
BNBUSDT,LONG,768.74,894.0373413663948,737.4156646584013,84.50847243091646,al alza,1.5533022194601147,6,50
ZECUSDT,LONG,43.47,56.79,39.32812933556158,52.07914063263187,al alza,0.9853951656300528,11,50
CVXUSDT,LONG,4.661,7.401358877401919,3.9759102806495195,69.92539535688962,al alza,1.1982950486083375,19,50
RENDERUSDT,LONG,4.468,6.275722044697341,4.016069488825664,70.1139690946082,al alza,1.2083201150336451,14,50
ARUSDT,LONG,8.2,11.828944451625576,7.292763887093605,70.58470593596533,al alza,0.9503725633134943,15,45
ORDIUSDT,LONG,11.103,16.455528862751528,9.764867784312118,68.01076606582822,al alza,1.2833552162109643,17,45
SSVUSDT,LONG,10.85,16.214412010925336,9.508896997268664,67.61686916636073,al alza,1.0976303744558369,17,45
EGLDUSDT,LONG,17.81,23.579659507768454,16.367585123057886,74.24998975150768,al alza,1.429673056792259,12,45
ENSUSDT,LONG,28.64,40.2691584468954,25.73271038827615,76.07651176056893,al alza,3.1830429843296875,14,45
ZENUSDT,LONG,9.43,12.34,8.41134810894798,61.30862314342474,al alza,1.603936095278578,11,45
LTCUSDT,LONG,116.68,152.80595549619562,107.6485111259511,81.40429010079066,al alza,1.4459428415108473,11,40
BNSOLUSDT,LONG,215.6,273.8263479529826,201.04341301175435,82.46615998618677,al alza,2.723274503465197,10,40
TAOUSDT,LONG,447.4,623.5077547243352,403.37306131891614,68.52442785964271,al alza,1.4335464838769474,14,40
AAVEUSDT,LONG,308.41,425.83315430280396,279.05421142429907,54.74230715620762,a la baja,1.049709164299028,14,40
WBETHUSDT,LONG,4003.97,5022.833140418587,3749.254214895353,84.93346830048877,al alza,0.9766832371215693,10,40
MOVRUSDT,LONG,7.21,9.760984321513906,6.572253919621524,71.36688143887199,al alza,2.6726239839783124,13,40
SOLUSDT,LONG,203.18,258.57742109924976,189.33064472518757,81.94063678840945,al alza,2.15850418863358,10,40
XVSUSDT,LONG,6.94,8.952701524126224,6.436824618968444,67.44224091083701,al alza,1.0286927570361533,11,40
ICPUSDT,LONG,6.078,8.131032734968759,5.56474181625781,69.11466883215402,al alza,1.3647920246780263,12,40
TRUMPUSDT,LONG,10.86,13.28,9.811261444884765,65.73916060887487,al alza,1.609995385394667,8,35
DASHUSDT,LONG,25.07,32.48544460664413,23.216138848338968,75.93612215054415,al alza,1.017101805095582,11,35
ETCUSDT,LONG,24.16,32.55996577176346,22.060008557059135,79.60047205088662,al alza,1.4000336203554071,13,35
LINKUSDT,LONG,19.51,25.939612165163357,17.90259695870916,82.48418761733069,al alza,1.3942413009196228,12,35
KSMUSDT,LONG,17.12,23.373366704278908,15.556658323930273,70.65496338542128,al alza,0.9386284696522369,13,35
COMPUSDT,LONG,51.69,62.75,46.44012387099645,60.0762806522924,al alza,0.6362867718184849,8,35
INJUSDT,LONG,15.06,21.366227996284323,13.48344300092892,71.71865883451385,al alza,1.002544758558444,15,35
ILVUSDT,LONG,14.32,19.521988664416163,13.01950283389596,72.18198701168313,al alza,0.7097654666080367,13,35
ALCXUSDT,LONG,9.93,12.0,9.124461718645582,73.43854993359686,al alza,0.8061200530327263,8,35
PROMUSDT,LONG,8.985,12.705430888704225,8.054892277823942,68.40256576072676,al alza,0.24390660546969453,15,35
NEOUSDT,LONG,7.27,9.80289155660511,6.636777110848723,70.94051548722798,al alza,0.9284185018941623,13,30
YFIUSDT,LONG,6091.0,7820.156447026815,5658.710888243297,67.99481235014747,al alza,1.7870194756920486,11,30
DEXEUSDT,LONG,7.38,15.069,6.628506587943218,40.26030397511442,al alza,0.33758917187260634,30,30
GMXUSDT,LONG,13.81,18.2,12.38630117052221,51.44466877716112,al alza,0.513853674743225,12,30
VANAUSDT,LONG,5.473,7.688,4.8852396954165584,61.83955958845593,al alza,1.6701611541800405,14,30
EPICUSDT,LONG,2.371,4.429831229283563,1.8562921926791092,70.91330585095531,al alza,1.0456232411945003,26,30
